Player,Team,Update,Details,Date
Bruno Fernando,ATL,"Sat, Jan 27, 2024",Out (Back) - Fernando is out for Sunday's (Jan. 28) game against Toronto.,2024-01-29
Mouhamed Gueye,ATL,"Thu, Jan 18, 2024",Out (Back) - The Hawks announced that Gueye will be re-evaluated two-to-three weeks.,2024-01-29
De'Andre Hunter,ATL,"Mon, Dec 25, 2023",Out (Knee) - The Hawks announced that Hunter will be re-evaluated in approximately two weeks.,2024-01-29
Vit Krejci,ATL,"Sat, Jan 20, 2024",Out (Shoulder) - Krejci has yet to appear in a game for Atlanta and remains without a timetable for his return.,2024-01-29
Dejounte Murray,ATL,"Sun, Jan 28, 2024",Out (Hamstring) - Murray is out for Sunday's (Jan. 28) game against Toronto.,2024-01-29
Al Horford,BOS,"Sun, Jan 28, 2024",Day To Day (Neck) - Horford is questionable for Monday's (Jan. 29) game against New Orleans.,2024-01-29
Luke Kornet,BOS,"Sun, Jan 28, 2024",Day To Day (Hamstring) - Kornet is doubtful for Monday's (Jan. 29) game against New Orleans.,2024-01-29
Kristaps Porziņģis,BOS,"Sun, Jan 28, 2024",Day To Day (Ankle) - Porzingis is questionable for Monday's (Jan. 29) game against New Orleans.,2024-01-29
Dorian Finney-Smith,BKN,"Sun, Jan 28, 2024",Out (Ankle) - Finney-Smith is out for Monday's (Jan. 29) game against Utah.,2024-01-29
Dariq Whitehead,BKN,"Sat, Jan 27, 2024",Out For Season (Shin) - Nets coach Jacque Vaughn said Whitehead will undergo season-ending surgery.,2024-01-29
Day'Ron Sharpe,BKN,"Tue, Jan 9, 2024",Out (Knee) - The Nets announced that Sharpe has a hyperextended left knee and will be re-evaluated in approximately two weeks.,2024-01-29
Ben Simmons,BKN,"Sun, Jan 28, 2024",Day To Day (Back) - Simmons is probable for Monday's (Jan. 29) game against Utah.,2024-01-29
LaMelo Ball,CHA,"Sun, Jan 28, 2024",Day To Day (Ankle) - Ball is questionable for Monday's (Jan. 29) game against New York.,2024-01-29
Gordon Hayward,CHA,"Thu, Dec 28, 2023",Out (Calf) - Hayward suffered a left calf strain. He is listed as out and will be reevaluated in two weeks,2024-01-29
Frank Ntilikina,CHA,"Sun, Jan 28, 2024",Day To Day (Hip) - Ntilikina is questionable for Monday's (Jan. 29) game against New York.,2024-01-29
Mark Williams,CHA,"Sun, Jan 7, 2024",Out (Back) - Williams hasn't played since Dec. 8 against Toronto and remains without a timetable to return.,2024-01-29
Lonzo Ball,CHI,"Tue, Nov 7, 2023",Out For Season (Knee) - Ball will miss the 2023-24 season while recovering from surgery.,2024-01-29
Torrey Craig,CHI,"Tue, Dec 19, 2023",Out (Foot) - Bulls announced Craig will be out after being diagnosed with an acute sprain of his right plantar fascia.,2024-01-29
Zach LaVine,CHI,"Fri, Jan 19, 2024","Out (Ankle) - LaVine is expected to miss at least one-to-two weeks with a right ankle sprain, sources tell @TheAthletic @Stadium",2024-01-29
Patrick Williams,CHI,"Sat, Jan 27, 2024",Out (Foot) - Williams is out for Sunday's (Jan. 28) game against Portland.,2024-01-29
Darius Garland,CLE,"Fri, Dec 15, 2023",Out (Jaw) - The Cavaliers announced Garland will miss a few weeks after sustaining a fractured jaw.,2024-01-29
Ty Jerome,CLE,"Sun, Nov 12, 2023",Out (Ankle) - Jerome has been out since Oct. 28 and remains without a timetable to return.,2024-01-29
Donovan Mitchell,CLE,"Sun, Jan 28, 2024",Day To Day (Groin) - Mitchell is probable for Monday's (Jan. 29) game against the Clippers.,2024-01-29
Evan Mobley,CLE,"Sun, Jan 28, 2024",Day To Day (Knee) - Mobley is questionable for Monday's (Jan. 29) game against the Clippers.,2024-01-29
Dante Exum,DAL,"Sun, Jan 28, 2024",Day To Day (Knee) - Exum is questionable for Monday's (Jan. 29) game against Orlando.,2024-01-29
Kyrie Irving,DAL,"Sun, Jan 28, 2024",Out (Thumb) - Irving is out for Monday's (Jan. 29) game against Orlando.,2024-01-29
Derrick Jones Jr.,DAL,"Sun, Jan 28, 2024",Day To Day (Wrist) - Jones Jr. is questionable for Monday's (Jan. 29) game against Orlando.,2024-01-29
Dwight Powell,DAL,"Sun, Jan 28, 2024",Day To Day (Eye) - Powell is questionable for Monday's (Jan. 29) game against Orlando.,2024-01-29
Vlatko Čančar,DEN,"Thu, Aug 17, 2023",Out (Knee) - The Nuggets announced that Cancar underwent surgery on his left knee and is out indefinitely.,2024-01-29
Julian Strawther,DEN,"Sun, Jan 7, 2024",Out (Knee) - Nuggets coach Michael Malone said there's no timetable for Strawther's return.,2024-01-29
Isaiah Stewart,DET,"Sun, Jan 28, 2024",Day To Day (Ankle) - Stewart left Sunday's (Jan. 28) game against Oklahoma City and will not return.,2024-01-29
Moses Moody,GSW,"Mon, Jan 22, 2024",Out (Calf) - Moody has been cleared to begin light individual on-court workouts and will be re-evaluated in one week.,2024-01-29
Chris Paul,GSW,"Tue, Jan 9, 2024",Out (Hand) - The Warriors announced that Paul will be re-evaluated again in three weeks.,2024-01-29
Gary Payton II,GSW,"Mon, Jan 22, 2024","Out (Hamstring) - Payton II will be re-evaluated in 2 weeks due to a left hamstring strain, per Warriors PR",2024-01-29
Tari Eason,HOU,"Wed, Jan 10, 2024",Out (Leg) - Rockets coach Ime Udoka said Eason needs a couple weeks to recover before returning to action.,2024-01-29
Victor Oladipo,HOU,"Tue, Oct 24, 2023",Out (Knee) - Oladipo is out while recovering from a left patellar tendon repair.,2024-01-29
Jabari Smith Jr.,HOU,"Sat, Jan 27, 2024",Day To Day (Ankle) - Smith Jr. did not play in Saturday's (Jan. 27) game against Brooklyn.,2024-01-29
Tyrese Haliburton,IND,"Tue, Jan 23, 2024",Out (Hamstring) - Pacers coach Rick Carlisle said Haliburton will miss the next three games.,2024-01-29
T.J. McConnell,IND,"Sun, Jan 28, 2024",Day To Day (Personal) - McConnell did not play in Sunday's (Jan. 28) game against Memphis.,2024-01-29
Myles Turner,IND,"Sun, Jan 28, 2024",Day To Day (Back) - Turner did not play in Sunday's (Jan. 28) game against Memphis.,2024-01-29
Moussa Diabaté,Los Angeles Clippers,"Mon, Dec 18, 2023",Out (Hip) - Diabate hasn't played since Nov. 30 against Golden State and remains without a timetable to return.,2024-01-29
Ivica Zubac,Los Angeles Clippers,"Tue, Jan 16, 2024",Out (Calf) - Zubac is out with a calf strain and will be re-evaluated in 4 weeks.,2024-01-29
Cam Reddish,LAL,"Fri, Jan 26, 2024",Out (Ankle) - The Lakers announced that Reddish was diagnosed with a right ankle sprain and will be re-evaluated in two weeks.,2024-01-29
Gabe Vincent,LAL,"Mon, Dec 25, 2023","Out (Knee) - Vincent will undergo surgery and miss 6-8 weeks, according to Shams Charania of The Athletic.",2024-01-29
Steven Adams,MEM,"Tue, Oct 24, 2023",Out For Season (Knee) - The Grizzlies announced that Adams will undergo season-ending surgery on his right knee.,2024-01-29
Desmond Bane,MEM,"Sun, Jan 14, 2024",Out (Ankle) - The Grizzlies announced that Bane has a left ankle sprain and will be re-evaluated in six weeks.,2024-01-29
Brandon Clarke,MEM,"Wed, Dec 20, 2023",Out (Achilles) - Clarke said he expects to make his season debut around the NBA All-Star break.,2024-01-29
Luke Kennard,MEM,"Sun, Jan 28, 2024",Day To Day (Knee) - Kennard did not play in Sunday's (Jan. 28) game against Indiana.,2024-01-29
Jake LaRavia,MEM,"Sun, Jan 14, 2024",Out (Ankle) - The Grizzlies announced that LaRavis has a Grade 2 high left ankle sprain and will be re-evaluated in three weeks.,2024-01-29
Ja Morant,MEM,"Mon, Jan 8, 2024",Out For Season (Shoulder) - Grizzlies announced Ja Morant will undergo season-ending surgery on his shoulder.,2024-01-29
Derrick Rose,MEM,"Wed, Jan 3, 2024",Out (Hamstring) - The Grizzlies announced that Rose is week-to-week.,2024-01-29
Marcus Smart,MEM,"Thu, Jan 11, 2024","Out (Finger) - Smart suffered a severe right finger injury and will miss approximately six weeks, according to Shams Charania of The Athletic.",2024-01-29
Dru Smith,MIA,"Fri, Nov 24, 2023",Out For Season (Knee) - Dru Smith has been diagnosed with a 3rd degree right knee sprain. He will be out for the remainder of the season.,2024-01-29
Jaylen Clark,MIN,"Tue, Oct 24, 2023","Out (Achilles) - Clark is idle due to a right Achilles issue, and is not expected to make his season debut until sometime in February.",2024-01-29
Mike Conley,MIN,"Sun, Jan 28, 2024",Day To Day (Hamstring) - Conley is questionable for Monday's (Jan. 29) game against Oklahoma City.,2024-01-29
Julius Randle,NYK,"Sun, Jan 28, 2024",Out (Shoulder) - Randle is out for Monday's (Jan. 29) game against Cleveland.,2024-01-29
Mitchell Robinson,NYK,"Wed, Dec 20, 2023","Out For Season (Ankle) - Robinson is expected to miss the rest of the season after undergoing ankle surgery last week, according to Shams Charania of The Athletic.",2024-01-29
Gary Harris,ORL,"Sun, Jan 21, 2024",Out (Calf) - Harris hasn't played since Jan. 3 against Sacramento and remains without a timetable to return.,2024-01-29
Mo Bamba,PHI,"Sat, Jan 27, 2024",Day To Day (Knee) - Bamba did not play in Saturday's (Jan. 27) game against Denver.,2024-01-29
Robert Covington,PHI,"Wed, Jan 24, 2024","Out (Knee) - Covington will be re-evaluated in 3-4 weeks, according to Derek Bodner of PHLY Sports.",2024-01-29
Joel Embiid,PHI,"Sat, Jan 27, 2024",Day To Day (Knee) - Embiid did not play in Saturday's (Jan. 27) game against Denver.,2024-01-29
Tobias Harris,PHI,"Sat, Jan 27, 2024",Day To Day (Illness) - Harris did not play in Saturday's (Jan. 27) game against Denver.,2024-01-29
Kenneth Lofton Jr.,PHI,"Sat, Jan 27, 2024",Day To Day (Personal) - Lofton did not play in Saturday's (Jan. 27) game against Denver.,2024-01-29
Tyrese Maxey,PHI,"Sat, Jan 27, 2024",Day To Day (Ankle) - Maxey did not play in Saturday's (Jan. 27) game against Denver.,2024-01-29
De'Anthony Melton,PHI,"Wed, Jan 24, 2024","Out (Back) - Melton will be re-evaluated in one week, according to Derek Bodner of PHLY Sports.",2024-01-29
Bol Bol,PHX,"Sun, Jan 28, 2024",Out (Foot) - Bol hasn't played since Jan. 11 against the Lakers and remains without a timetable to return.,2024-01-29
Damion Lee,PHX,"Sun, Oct 1, 2023",Out (Knee) - The Suns announced that Lee sustained a meniscus injury and will be out until further notice.,2024-01-29
Jusuf Nurkić,PHX,"Sun, Jan 28, 2024",Out (Thumb) - Nurkic is out for Sunday's (Jan. 28) game against Orlando.,2024-01-29
Malcolm Brogdon,POR,"Sat, Jan 27, 2024",Day To Day (Knee) - Brogdon is questionable for Sunday's (Jan. 28) game against Chicago.,2024-01-29
Moses Brown,POR,"Mon, Jan 8, 2024",Out (Wrist) - The Trail Blazers announced that Brown will undergo surgery this week and a timeline for his return will be determined after surgery.,2024-01-29
Jerami Grant,POR,"Sat, Jan 27, 2024",Day To Day (Back) - Grant is questionable for Sunday's (Jan. 28) game against Chicago.,2024-01-29
Scoot Henderson,POR,"Sat, Jan 27, 2024",Day To Day (Quad) - Henderson is questionable for Sunday's (Jan. 28) game against Chicago.,2024-01-29
Shaedon Sharpe,POR,"Mon, Jan 15, 2024",Out (Abdominal) - The Trail Blazers announced that Sharpe will be re-evaluated in two weeks after suffering a right abdominal strain.,2024-01-29
Anfernee Simons,POR,"Sat, Jan 27, 2024",Day To Day (Rib) - Simons is questionable for Sunday's (Jan. 28) game against Chicago.,2024-01-29
Jabari Walker,POR,"Sat, Jan 27, 2024",Day To Day (Knee) - Walker is questionable for Sunday's (Jan. 28) game against Chicago.,2024-01-29
Robert Williams,POR,"Fri, Nov 10, 2023","Out For Season (Knee) - Williams III will be required to undergo season-ending knee surgery, per Adrian Wojnarowski.",2024-01-29
Sasha Vezenkov,SAC,"Sun, Jan 28, 2024",Day To Day (Ankle) - Vezenkov did not play in Saturday's game (Jan. 27) against the Mavericks.,2024-01-29
Charles Bassey,SAS,"Tue, Dec 12, 2023",Out For Season (Knee) - The San Antonio Spurs announced C Charles Bassey is out for the season with a torn ACL.,2024-01-29
Zach Collins,SAS,"Sun, Jan 28, 2024",Day To Day (Ankle) - Collins is questionable for Monday's (Jan. 29) game against Washington.,2024-01-29
RJ Barrett,TOR,"Sun, Jan 28, 2024",Out (Knee) - Barrett is out for Sunday's (Jan. 28) game against Atlanta.,2024-01-29
Jakob Poeltl,TOR,"Sun, Jan 28, 2024",Out (Ankle) - Poeltl is out for Sunday's (Jan. 28) game against Atlanta.,2024-01-29
Immanuel Quickley,TOR,"Sat, Jan 27, 2024",Out (Quad) - Quickley is out for Sunday's (Jan. 28) game against Atlanta.,2024-01-29
Isaiah Livers,WAS,"Sun, Jan 28, 2024",Out (Hip) - Livers is out for Monday's (Jan. 29) game against San Antonio.,2024-01-29
